param n := 9;

param num_segments := 29;

param segments: 1 2 3 4 5 6 7 8 9 :=
1   1  1  2  2  2  3  4  5  6 
2   7  7  8  8  3  3  4  5  6 
3   7  7  9  9  3 10 11 11  6 
4  13 14 14  9 15 10 11 12  6 
5  13 16 16 17 15 10 12 12 18 
6  19 16 20 17 15 21 22 22 18 
7  19 20 20 17 23 21 21 24 24 
8  19 25 26 23 23 27 27 24 24 
9  19 25 26 23 28 28 28 29 29 
;

param segment_sums :=
 1   3
 2  15
 3  22
 4   4
 5  16
 6  15
 7  25
 8  17
 9   9
10   8
11  20
12  17
13   6
14  14
15  17
16  13
17  20
18  12
19  27
20   6
21  20
22   6
23  10
24  14
25   8
26  16
27  15
28  13
29  17
;
