set graph := 
        "France" "Belgium"
        "France" "Luxembourg"
        "France" "Germany"
        "France" "Spain"
        "Spain" "Portugal"
        "Luxembourg" "Germany"
        "Luxembourg" "Belgium"
        "Belgium" "Netherlands"
        "Belgium" "Germany"
        "Germany" "Netherlands"
        "Germany" "Denmark"
        "Germany" "Poland"
        "Germany" "Austria"
        "Denmark" "Sweden"
        "Sweden" "Norway"
        "Sweden" "Finland"
        "Sweden" "Poland"
        "Finland" "Norway"
        "France" "Switzerland"
        "France" "Italy"
        "Italy" "Switzerland"
        "Italy" "Austria";
